Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Gender,WHome,T1_TeamID,T2_TeamID,T1_Score,T2_Score,PointDiff,T1_Win,T1_Home,T2_Home,T1_FGM,T2_FGM,T1_FGA,T2_FGA,T1_FGM3,T2_FGM3,T1_FGA3,T2_FGA3,T1_FTM,T2_FTM,T1_FTA,T2_FTA,T1_OR,T2_OR,T1_DR,T2_DR,T1_Ast,T2_Ast,T1_TO,T2_TO,T1_Stl,T2_Stl,T1_Blk,T2_Blk,T1_PF,T2_PF
2003,134,1421,81.77777777777777,1411,74.66666666666666,N,1,28.444444444444443,61.33333333333333,9.777777777777777,25.777777777777775,15.11111111111111,23.11111111111111,12.444444444444443,26.666666666666664,15.11111111111111,10.666666666666666,4.444444444444445,2.6666666666666665,19.555555555555554,25.777777777777775,59.55555555555555,10.666666666666666,27.555555555555554,12.444444444444443,27.555555555555554,15.11111111111111,24.888888888888886,14.222222222222221,13.333333333333332,4.444444444444445,0.0,19.555555555555554,M,0,1421,1411,81.77777777777777,74.66666666666666,7.111111111111114,1,0,0,28.444444444444443,25.777777777777775,61.33333333333333,59.55555555555555,9.777777777777777,10.666666666666666,25.777777777777775,27.555555555555554,15.11111111111111,12.444444444444443,23.11111111111111,27.555555555555554,12.444444444444443,15.11111111111111,26.666666666666664,24.888888888888886,15.11111111111111,14.222222222222221,10.666666666666666,13.333333333333332,4.444444444444445,4.444444444444445,2.6666666666666665,0.0,19.555555555555554,19.555555555555554
2003,136,1112,80.0,1436,51.0,N,0,31.0,66.0,7.0,23.0,11.0,14.0,11.0,36.0,22.0,16.0,10.0,7.0,8.0,20.0,64.0,4.0,16.0,7.0,7.0,8.0,26.0,12.0,17.0,10.0,3.0,15.0,M,0,1112,1436,80.0,51.0,29.0,1,0,0,31.0,20.0,66.0,64.0,7.0,4.0,23.0,16.0,11.0,7.0,14.0,7.0,11.0,8.0,36.0,26.0,22.0,12.0,16.0,17.0,10.0,10.0,7.0,3.0,8.0,15.0
2003,136,1113,84.0,1272,71.0,N,0,31.0,59.0,6.0,14.0,16.0,22.0,10.0,27.0,18.0,9.0,7.0,4.0,19.0,25.0,69.0,7.0,28.0,14.0,21.0,20.0,22.0,11.0,12.0,2.0,5.0,18.0,M,0,1113,1272,84.0,71.0,13.0,1,0,0,31.0,25.0,59.0,69.0,6.0,7.0,14.0,28.0,16.0,14.0,22.0,21.0,10.0,20.0,27.0,22.0,18.0,11.0,9.0,12.0,7.0,2.0,4.0,5.0,19.0,18.0
2003,136,1141,79.0,1166,73.0,N,0,29.0,53.0,3.0,7.0,18.0,25.0,11.0,20.0,15.0,18.0,13.0,1.0,19.0,27.0,60.0,7.0,17.0,12.0,17.0,14.0,17.0,20.0,21.0,6.0,6.0,21.0,M,0,1141,1166,79.0,73.0,6.0,1,0,0,29.0,27.0,53.0,60.0,3.0,7.0,7.0,17.0,18.0,12.0,25.0,17.0,11.0,14.0,20.0,17.0,15.0,20.0,18.0,21.0,13.0,6.0,1.0,6.0,19.0,21.0
2003,136,1143,67.55555555555556,1301,65.77777777777777,N,1,24.0,56.888888888888886,6.222222222222221,17.77777777777778,13.333333333333332,20.444444444444443,16.0,17.77777777777778,15.11111111111111,11.555555555555555,7.111111111111111,1.7777777777777777,12.444444444444443,22.22222222222222,49.77777777777777,8.0,18.666666666666664,13.333333333333332,17.77777777777778,8.88888888888889,23.11111111111111,14.222222222222221,12.444444444444443,4.444444444444445,7.111111111111111,16.88888888888889,M,0,1143,1301,67.55555555555556,65.77777777777777,1.7777777777777857,1,0,0,24.0,22.22222222222222,56.888888888888886,49.77777777777777,6.222222222222221,8.0,17.77777777777778,18.666666666666664,13.333333333333332,13.333333333333332,20.444444444444443,17.77777777777778,16.0,8.88888888888889,17.77777777777778,23.11111111111111,15.11111111111111,14.222222222222221,11.555555555555555,12.444444444444443,7.111111111111111,4.444444444444445,1.7777777777777777,7.111111111111111,12.444444444444443,16.88888888888889
2003,136,1163,58.0,1140,53.0,N,0,17.0,52.0,4.0,14.0,20.0,27.0,12.0,29.0,8.0,14.0,3.0,8.0,16.0,20.0,64.0,2.0,17.0,11.0,13.0,15.0,26.0,11.0,11.0,8.0,4.0,22.0,M,0,1163,1140,58.0,53.0,5.0,1,0,0,17.0,20.0,52.0,64.0,4.0,2.0,14.0,17.0,20.0,11.0,27.0,13.0,12.0,15.0,29.0,26.0,8.0,11.0,14.0,11.0,3.0,8.0,8.0,4.0,16.0,22.0
2003,136,1181,67.0,1161,57.0,N,0,19.0,54.0,4.0,13.0,25.0,31.0,13.0,27.0,4.0,16.0,10.0,8.0,23.0,18.0,54.0,3.0,11.0,18.0,22.0,11.0,24.0,8.0,19.0,5.0,4.0,19.0,M,0,1181,1161,67.0,57.0,10.0,1,0,0,19.0,18.0,54.0,54.0,4.0,3.0,13.0,11.0,25.0,18.0,31.0,22.0,13.0,11.0,27.0,24.0,4.0,8.0,16.0,19.0,10.0,5.0,8.0,4.0,23.0,19.0
2003,136,1211,74.0,1153,69.0,N,0,20.0,47.0,6.0,14.0,28.0,37.0,8.0,28.0,12.0,12.0,2.0,2.0,15.0,26.0,66.0,10.0,27.0,7.0,10.0,13.0,22.0,13.0,10.0,7.0,6.0,24.0,M,0,1211,1153,74.0,69.0,5.0,1,0,0,20.0,26.0,47.0,66.0,6.0,10.0,14.0,27.0,28.0,7.0,37.0,10.0,8.0,13.0,28.0,22.0,12.0,13.0,12.0,10.0,2.0,7.0,2.0,6.0,15.0,24.0
2003,136,1228,65.0,1443,60.0,N,0,24.0,56.0,5.0,14.0,12.0,14.0,15.0,23.0,15.0,14.0,11.0,4.0,14.0,22.0,58.0,8.0,24.0,8.0,13.0,17.0,18.0,10.0,14.0,6.0,5.0,16.0,M,0,1228,1443,65.0,60.0,5.0,1,0,0,24.0,22.0,56.0,58.0,5.0,8.0,14.0,24.0,12.0,8.0,14.0,13.0,15.0,17.0,23.0,18.0,15.0,10.0,14.0,14.0,11.0,6.0,4.0,5.0,14.0,16.0
2003,136,1242,64.0,1429,61.0,N,0,28.0,51.0,2.0,6.0,6.0,11.0,7.0,20.0,13.0,11.0,8.0,4.0,17.0,23.0,56.0,6.0,17.0,9.0,10.0,13.0,19.0,13.0,13.0,6.0,1.0,15.0,M,0,1242,1429,64.0,61.0,3.0,1,0,0,28.0,23.0,51.0,56.0,2.0,6.0,6.0,17.0,6.0,9.0,11.0,10.0,7.0,13.0,20.0,19.0,13.0,13.0,11.0,13.0,8.0,6.0,4.0,1.0,17.0,15.0
2003,136,1266,72.0,1221,68.0,N,0,22.0,51.0,9.0,16.0,19.0,23.0,11.0,20.0,14.0,10.0,4.0,3.0,23.0,24.0,54.0,5.0,15.0,15.0,25.0,14.0,20.0,14.0,9.0,4.0,1.0,20.0,M,0,1266,1221,72.0,68.0,4.0,1,0,0,22.0,24.0,51.0,54.0,9.0,5.0,16.0,15.0,19.0,15.0,23.0,25.0,11.0,14.0,20.0,20.0,14.0,14.0,10.0,9.0,4.0,4.0,3.0,1.0,23.0,20.0
2003,136,1281,72.0,1356,71.0,N,0,28.0,52.0,5.0,13.0,11.0,18.0,9.0,32.0,7.0,23.0,4.0,6.0,19.0,26.0,65.0,8.0,19.0,11.0,21.0,11.0,18.0,19.0,13.0,6.0,0.0,19.0,M,0,1281,1356,72.0,71.0,1.0,1,0,0,28.0,26.0,52.0,65.0,5.0,8.0,13.0,19.0,11.0,11.0,18.0,21.0,9.0,11.0,32.0,18.0,7.0,19.0,23.0,13.0,4.0,6.0,6.0,0.0,19.0,19.0
