Season,Seed,TeamID,Gender,SeedNum,Region
1985,W01,1207,M,1,W
1985,W02,1210,M,2,W
1985,W03,1228,M,3,W
1985,W04,1260,M,4,W
1985,W05,1374,M,5,W
1985,W06,1208,M,6,W
1985,W07,1393,M,7,W
1985,W08,1396,M,8,W
1985,W09,1439,M,9,W
1985,W10,1177,M,10,W
1985,W11,1455,M,11,W
1985,W12,1330,M,12,W
1985,W13,1233,M,13,W
1985,W14,1318,M,14,W
1985,W15,1273,M,15,W
1985,W16,1250,M,16,W
1985,X01,1385,M,1,X
1985,X02,1433,M,2,X
1985,X03,1301,M,3,X
1985,X04,1424,M,4,X
1985,X05,1449,M,5,X
1985,X06,1409,M,6,X
1985,X07,1104,M,7,X
1985,X08,1234,M,8,X
1985,X09,1116,M,9,X
1985,X10,1112,M,10,X
1985,X11,1431,M,11,X
1985,X12,1246,M,12,X
1985,X13,1361,M,13,X
1985,X14,1305,M,14,X
1985,X15,1267,M,15,X
1985,X16,1380,M,16,X
1985,Y01,1328,M,1,Y
1985,Y02,1272,M,2,Y
1985,Y03,1181,M,3,Y
1985,Y04,1326,M,4,Y
1985,Y05,1256,M,5,Y
1985,Y06,1403,M,6,Y
1985,Y07,1412,M,7,Y
1985,Y08,1425,M,8,Y
1985,Y09,1229,M,9,Y
1985,Y10,1277,M,10,Y
1985,Y11,1130,M,11,Y
1985,Y12,1338,M,12,Y
1985,Y13,1235,M,13,Y
1985,Y14,1337,M,14,Y
1985,Y15,1335,M,15,Y
1985,Y16,1299,M,16,Y
1985,Z01,1276,M,1,Z
1985,Z02,1314,M,2,Z
1985,Z03,1242,M,3,Z
1985,Z04,1261,M,4,Z
1985,Z05,1268,M,5,Z
1985,Z06,1345,M,6,Z
1985,Z07,1323,M,7,Z
1985,Z08,1437,M,8,Z
1985,Z09,1173,M,9,Z
1985,Z10,1333,M,10,Z
1985,Z11,1120,M,11,Z
1985,Z12,1275,M,12,Z
1985,Z13,1298,M,13,Z
1985,Z14,1325,M,14,Z
1985,Z15,1292,M,15,Z
1985,Z16,1192,M,16,Z
1986,W01,1181,M,1,W
1986,W02,1393,M,2,W
1986,W03,1231,M,3,W
1986,W04,1328,M,4,W
1986,W05,1438,M,5,W
1986,W06,1386,M,6,W
1986,W07,1298,M,7,W
1986,W08,1330,M,8,W
1986,W09,1452,M,9,W
1986,W10,1409,M,10,W
1986,W11,1350,M,11,W
1986,W12,1177,M,12,W
1986,W13,1318,M,13,W
1986,W14,1156,M,14,W
1986,W15,1135,M,15,W
1986,W16,1290,M,16,W
1986,X01,1242,M,1,X
1986,X02,1276,M,2,X
1986,X03,1323,M,3,X
1986,X04,1207,M,4,X
1986,X05,1277,M,5,X
1986,X06,1301,M,6,X
1986,X07,1235,M,7,X
1986,X08,1239,M,8,X
1986,X09,1396,M,9,X
1986,X10,1275,M,10,X
1986,X11,1234,M,11,X
1986,X12,1449,M,12,X
1986,X13,1403,M,13,X
1986,X14,1114,M,14,X
1986,X15,1103,M,15,X
1986,X16,1299,M,16,X
1986,Y01,1246,M,1,Y
1986,Y02,1210,M,2,Y
1986,Y03,1272,M,3,Y
1986,Y04,1228,M,4,Y
1986,Y05,1104,M,5,Y
1986,Y06,1345,M,6,Y
1986,Y07,1439,M,7,Y
1986,Y08,1443,M,8,Y
1986,Y09,1304,M,9,Y
1986,Y10,1437,M,10,Y
1986,Y11,1261,M,11,Y
1986,Y12,1462,M,12,Y
1986,Y13,1193,M,13,Y
1986,Y14,1123,M,14,Y
1986,Y15,1265,M,15,Y
1986,Y16,1172,M,16,Y
1986,Z01,1385,M,1,Z
1986,Z02,1257,M,2,Z
1986,Z03,1314,M,3,Z
1986,Z04,1424,M,4,Z
1986,Z05,1268,M,5,Z
1986,Z06,1412,M,6,Z
1986,Z07,1133,M,7,Z
1986,Z08,1120,M,8,Z
1986,Z09,1112,M,9,Z
1986,Z10,1431,M,10,Z
1986,Z11,1281,M,11,Z
1986,Z12,1337,M,12,Z
1986,Z13,1419,M,13,Z
1986,Z14,1428,M,14,Z
1986,Z15,1180,M,15,Z
1986,Z16,1286,M,16,Z
1987,W01,1314,M,1,W
1987,W02,1393,M,2,W
1987,W03,1345,M,3,W
1987,W04,1395,M,4,W
1987,W05,1323,M,5,W
1987,W06,1196,M,6,W
1987,W07,1452,M,7,W
1987,W08,1298,M,8,W
1987,W09,1276,M,9,W
1987,W10,1443,M,10,W
1987,W11,1301,M,11,W
1987,W12,1292,M,12,W
1987,W13,1267,M,13,W
1987,W14,1318,M,14,W
1987,W15,1204,M,15,W
1987,W16,1335,M,16,W
1987,X01,1207,M,1,X
1987,X02,1104,M,2,X
1987,X03,1228,M,3,X
1987,X04,1155,M,4,X
1987,X05,1242,M,5,X
1987,X06,1344,M,6,X
1987,X07,1309,M,7,X
1987,X08,1246,M,8,X
1987,X09,1326,M,9,X
1987,X10,1140,M,10,X
1987,X11,1412,M,11,X
1987,X12,1222,M,12,X
1987,X13,1283,M,13,X
1987,X14,1122,M,14,X
1987,X15,1299,M,15,X
1987,X16,1137,M,16,X
1987,Y01,1231,M,1,Y
1987,Y02,1396,M,2,Y
1987,Y03,1177,M,3,Y
1987,Y04,1281,M,4,Y
1987,Y05,1181,M,5,Y
1987,Y06,1385,M,6,Y
1987,Y07,1210,M,7,Y
1987,Y08,1120,M,8,Y
1987,Y09,1360,M,9,Y
1987,Y10,1261,M,10,Y
1987,Y11,1455,M,11,Y
1987,Y12,1401,M,12,Y
1987,Y13,1462,M,13,Y
1987,Y14,1256,M,14,Y
1987,Y15,1380,M,15,Y
1987,Y16,1193,M,16,Y
1987,Z01,1424,M,1,Z
1987,Z02,1234,M,2,Z
1987,Z03,1338,M,3,Z
1987,Z04,1417,M,4,Z
1987,Z05,1438,M,5,Z
1987,Z06,1328,M,6,Z
1987,Z07,1431,M,7,Z
1987,Z08,1208,M,8,Z
1987,Z09,1243,M,9,Z
1987,Z10,1112,M,10,Z
1987,Z11,1409,M,11,Z
1987,Z12,1461,M,12,Z
1987,Z13,1141,M,13,Z
1987,Z14,1265,M,14,Z
1987,Z15,1365,M,15,Z
1987,Z16,1226,M,16,Z
1988,W01,1396,M,1,W
1988,W02,1181,M,2,W
1988,W03,1393,M,3,W
1988,W04,1231,M,4,W
1988,W05,1210,M,5,W
1988,W06,1281,M,6,W
1988,W07,1374,M,7,W
1988,W08,1207,M,8,W
1988,W09,1261,M,9,W
1988,W10,1323,M,10,W
1988,W11,1348,M,11,W
1988,W12,1235,M,12,W
1988,W13,1350,M,13,W
1988,W14,1299,M,14,W
1988,W15,1131,M,15,W
1988,W16,1250,M,16,W
1988,X01,1345,M,1,X
1988,X02,1338,M,2,X
1988,X03,1301,M,3,X
1988,X04,1243,M,4,X
1988,X05,1177,M,5,X
1988,X06,1242,M,6,X
1988,X07,1435,M,7,X
1988,X08,1124,M,8,X
1988,X09,1272,M,9,X
1988,X10,1429,M,10,X
1988,X11,1462,M,11,X
1988,X12,1455,M,12,X
1988,X13,1247,M,13,X
1988,X14,1293,M,14,X
1988,X15,1185,M,15,X
1988,X16,1192,M,16,X
1988,Y01,1328,M,1,Y
1988,Y02,1246,M,2,Y
1988,Y03,1228,M,3,Y
1988,Y04,1140,M,4,Y
1988,Y05,1257,M,5,Y
1988,Y06,1437,M,6,Y
1988,Y07,1268,M,7,Y
1988,Y08,1120,M,8,Y
1988,Y09,1133,M,9,Y
1988,Y10,1364,M,10,Y
1988,Y11,1116,M,11,Y
1988,Y12,1333,M,12,Y
1988,Y13,1150,M,13,Y
1988,Y14,1427,M,14,Y
1988,Y15,1380,M,15,Y
1988,Y16,1151,M,16,Y
1988,Z01,1112,M,1,Z
1988,Z02,1314,M,2,Z
1988,Z03,1276,M,3,Z
1988,Z04,1424,M,4,Z
1988,Z05,1234,M,5,Z
1988,Z06,1196,M,6,Z
1988,Z07,1461,M,7,Z
1988,Z08,1371,M,8,Z
1988,Z09,1431,M,9,Z
1988,Z10,1258,M,10,Z
1988,Z11,1385,M,11,Z
1988,Z12,1199,M,12,Z
1988,Z13,1283,M,13,Z
1988,Z14,1129,M,14,Z
1988,Z15,1317,M,15,Z
1988,Z16,1165,M,16,Z
1989,W01,1207,M,1,W
1989,W02,1181,M,2,W
1989,W03,1390,M,3,W
1989,W04,1234,M,4,W
1989,W05,1301,M,5,W
1989,W06,1243,M,6,W
1989,W07,1452,M,7,W
1989,W08,1435,M,8,W
1989,W09,1323,M,9,W
1989,W10,1397,M,10,W
1989,W11,1278,M,11,W
1989,W12,1376,M,12,W
1989,W13,1353,M,13,W
1989,W14,1373,M,14,W
1989,W15,1354,M,15,W
1989,W16,1343,M,16,W
1989,X01,1112,M,1,X
1989,X02,1231,M,2,X
1989,X03,1371,M,3,X
1989,X04,1424,M,4,X
1989,X05,1272,M,5,X
1989,X06,1333,M,6,X
1989,X07,1431,M,7,X
1989,X08,1388,M,8,X
1989,X09,1155,M,9,X
1989,X10,1261,M,10,X
1989,X11,1191,M,11,X
1989,X12,1177,M,12,X
1989,X13,1225,M,13,X
1989,X14,1283,M,14,X
1989,X15,1206,M,15,X
1989,X16,1352,M,16,X
1989,Y01,1228,M,1,Y
1989,Y02,1393,M,2,Y
1989,Y03,1281,M,3,Y
1989,Y04,1257,M,4,Y
1989,Y05,1116,M,5,Y
1989,Y06,1210,M,6,Y
1989,Y07,1196,M,7,Y
1989,Y08,1338,M,8,Y
1989,Y09,1123,M,9,Y
1989,Y10,1161,M,10,Y
1989,Y11,1400,M,11,Y
1989,Y12,1258,M,12,Y
1989,Y13,1114,M,13,Y
1989,Y14,1166,M,14,Y
1989,Y15,1137,M,15,Y
1989,Y16,1270,M,16,Y
1989,Z01,1328,M,1,Z
1989,Z02,1314,M,2,Z
1989,Z03,1276,M,3,Z
1989,Z04,1199,M,4,Z
1989,Z05,1438,M,5,Z
1989,Z06,1104,M,6,Z
1989,Z07,1417,M,7,Z
1989,Z08,1247,M,8,Z
1989,Z09,1256,M,9,Z
1989,Z10,1235,M,10,Z
1989,Z11,1375,M,11,Z
1989,Z12,1344,M,12,Z
1989,Z13,1292,M,13,Z
1989,Z14,1462,M,14,Z
1989,Z15,1380,M,15,Z
1989,Z16,1190,M,16,Z
1990,W01,1163,M,1,W
1990,W02,1242,M,2,W
1990,W03,1181,M,3,W
1990,W04,1247,M,4,W
1990,W05,1155,M,5,W
1990,W06,1385,M,6,W
1990,W07,1417,M,7,W
1990,W08,1231,M,8,W
1990,W09,1143,M,9,W
1990,W10,1412,M,10,W
1990,W11,1396,M,11,W
1990,W12,1140,M,12,W
1990,W13,1379,M,13,W
1990,W14,1350,M,14,W
1990,W15,1352,M,15,W
1990,W16,1131,M,16,W
1990,X01,1328,M,1,X
1990,X02,1345,M,2,X
1990,X03,1207,M,3,X
1990,X04,1116,M,4,X
1990,X05,1228,M,5,X
1990,X06,1462,M,6,X
1990,X07,1208,M,7,X
1990,X08,1314,M,8,X
1990,X09,1283,M,9,X
1990,X10,1400,M,10,X
1990,X11,1243,M,11,X
1990,X12,1173,M,12,X
1990,X13,1343,M,13,X
1990,X14,1411,M,14,X
1990,X15,1419,M,15,X
1990,X16,1406,M,16,X
1990,Y01,1277,M,1,Y
1990,Y02,1393,M,2,Y
1990,Y03,1281,M,3,Y
1990,Y04,1210,M,4,Y
1990,Y05,1261,M,5,Y
1990,Y06,1278,M,6,Y
1990,Y07,1438,M,7,Y
1990,Y08,1222,M,8,Y
1990,Y09,1364,M,9,Y
1990,Y10,1323,M,10,Y
1990,Y11,1431,M,11,Y
1990,Y12,1437,M,12,Y
1990,Y13,1190,M,13,Y
1990,Y14,1320,M,14,Y
1990,Y15,1164,M,15,Y
1990,Y16,1293,M,16,Y
1990,Z01,1424,M,1,Z
1990,Z02,1112,M,2,Z
1990,Z03,1276,M,3,Z
1990,Z04,1257,M,4,Z
1990,Z05,1333,M,5,Z
1990,Z06,1308,M,6,Z
1990,Z07,1104,M,7,Z
1990,Z08,1326,M,8,Z
1990,Z09,1344,M,9,Z
1990,Z10,1161,M,10,Z
1990,Z11,1258,M,11,Z
1990,Z12,1123,M,12,Z
1990,Z13,1225,M,13,Z
1990,Z14,1229,M,14,Z
1990,Z15,1378,M,15,Z
1990,Z16,1114,M,16,Z
1991,W01,1314,M,1,W
1991,W02,1393,M,2,W
1991,W03,1329,M,3,W
1991,W04,1417,M,4,W
1991,W05,1280,M,5,W
1991,W06,1301,M,6,W
1991,W07,1345,M,7,W
1991,W08,1343,M,8,W
1991,W09,1437,M,9,W
1991,W10,1396,M,10,W
1991,W11,1379,M,11,W
1991,W12,1185,M,12,W
1991,W13,1336,M,13,W
1991,W14,1307,M,14,W
1991,W15,1350,M,15,W
1991,W16,1318,M,16,W
1991,X01,1116,M,1,X
1991,X02,1231,M,2,X
1991,X03,1242,M,3,X
1991,X04,1104,M,4,X
1991,X05,1448,M,5,X
1991,X06,1338,M,6,X
1991,X07,1199,M,7,X
1991,X08,1113,M,8,X
1991,X09,1353,M,9,X
1991,X10,1425,M,10,X
1991,X11,1208,M,11,X
1991,X12,1256,M,12,X
1991,X13,1293,M,13,X
1991,X14,1309,M,14,X
1991,X15,1157,M,15,X
1991,X16,1209,M,16,X
1991,Y01,1326,M,1,Y
1991,Y02,1181,M,2,Y
1991,Y03,1304,M,3,Y
1991,Y04,1385,M,4,Y
1991,Y05,1400,M,5,Y
1991,Y06,1261,M,6,Y
1991,Y07,1234,M,7,Y
1991,Y08,1210,M,8,Y
1991,Y09,1177,M,9,Y
1991,Y10,1190,M,10,Y
1991,Y11,1163,M,11,Y
1991,Y12,1389,M,12,Y
1991,Y13,1296,M,13,Y
1991,Y14,1462,M,14,Y
1991,Y15,1419,M,15,Y
1991,Y16,1406,M,16,Y
1991,Z01,1424,M,1,Z
1991,Z02,1112,M,2,Z
1991,Z03,1371,M,3,Z
1991,Z04,1428,M,4,Z
1991,Z05,1277,M,5,Z
1991,Z06,1308,M,6,Z
1991,Z07,1438,M,7,Z
1991,Z08,1207,M,8,Z
1991,Z09,1435,M,9,Z
1991,Z10,1140,M,10,Z
1991,Z11,1166,M,11,Z
1991,Z12,1453,M,12,Z
1991,Z13,1375,M,13,Z
1991,Z14,1337,M,14,Z
1991,Z15,1384,M,15,Z
1991,Z16,1285,M,16,Z
1992,W01,1181,M,1,W
1992,W02,1246,M,2,W
1992,W03,1269,M,3,W
1992,W04,1371,M,4,W
1992,W05,1281,M,5,W
1992,W06,1393,M,6,W
1992,W07,1150,M,7,W
1992,W08,1400,M,8,W
1992,W09,1234,M,9,W
1992,W10,1235,M,10,W
1992,W11,1343,M,11,W
1992,W12,1452,M,12,W
1992,W13,1247,M,13,W
1992,W14,1200,M,14,W
1992,W15,1330,M,15,W
1992,W16,1144,M,16,W
1992,X01,1417,M,1,X
1992,X02,1231,M,2,X
1992,X03,1199,M,3,X
1992,X04,1328,M,4,X
1992,X05,1177,M,5,X
1992,X06,1207,M,6,X
1992,X07,1261,M,7,X
1992,X08,1257,M,8,X
1992,X09,1448,M,9,X
1992,X10,1140,M,10,X
1992,X11,1378,M,11,X
1992,X12,1308,M,12,X
1992,X13,1418,M,13,X
1992,X14,1285,M,14,X
1992,X15,1183,M,15,X
1992,X16,1352,M,16,X
1992,Y01,1242,M,1,Y
1992,Y02,1425,M,2,Y
1992,Y03,1116,M,3,Y
1992,Y04,1153,M,4,Y
1992,Y05,1277,M,5,Y
1992,Y06,1272,M,6,Y
1992,Y07,1210,M,7,Y
