Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Gender,WHome
2003,134,1421,81.77777777777777,1411,74.66666666666666,N,1,28.444444444444443,61.33333333333333,9.777777777777777,25.777777777777775,15.11111111111111,23.11111111111111,12.444444444444443,26.666666666666664,15.11111111111111,10.666666666666666,4.444444444444445,2.6666666666666665,19.555555555555554,25.777777777777775,59.55555555555555,10.666666666666666,27.555555555555554,12.444444444444443,27.555555555555554,15.11111111111111,24.888888888888886,14.222222222222221,13.333333333333332,4.444444444444445,0.0,19.555555555555554,M,0
2003,136,1112,80.0,1436,51.0,N,0,31.0,66.0,7.0,23.0,11.0,14.0,11.0,36.0,22.0,16.0,10.0,7.0,8.0,20.0,64.0,4.0,16.0,7.0,7.0,8.0,26.0,12.0,17.0,10.0,3.0,15.0,M,0
2003,136,1113,84.0,1272,71.0,N,0,31.0,59.0,6.0,14.0,16.0,22.0,10.0,27.0,18.0,9.0,7.0,4.0,19.0,25.0,69.0,7.0,28.0,14.0,21.0,20.0,22.0,11.0,12.0,2.0,5.0,18.0,M,0
2003,136,1141,79.0,1166,73.0,N,0,29.0,53.0,3.0,7.0,18.0,25.0,11.0,20.0,15.0,18.0,13.0,1.0,19.0,27.0,60.0,7.0,17.0,12.0,17.0,14.0,17.0,20.0,21.0,6.0,6.0,21.0,M,0
2003,136,1143,67.55555555555556,1301,65.77777777777777,N,1,24.0,56.888888888888886,6.222222222222221,17.77777777777778,13.333333333333332,20.444444444444443,16.0,17.77777777777778,15.11111111111111,11.555555555555555,7.111111111111111,1.7777777777777777,12.444444444444443,22.22222222222222,49.77777777777777,8.0,18.666666666666664,13.333333333333332,17.77777777777778,8.88888888888889,23.11111111111111,14.222222222222221,12.444444444444443,4.444444444444445,7.111111111111111,16.88888888888889,M,0
2003,136,1163,58.0,1140,53.0,N,0,17.0,52.0,4.0,14.0,20.0,27.0,12.0,29.0,8.0,14.0,3.0,8.0,16.0,20.0,64.0,2.0,17.0,11.0,13.0,15.0,26.0,11.0,11.0,8.0,4.0,22.0,M,0
2003,136,1181,67.0,1161,57.0,N,0,19.0,54.0,4.0,13.0,25.0,31.0,13.0,27.0,4.0,16.0,10.0,8.0,23.0,18.0,54.0,3.0,11.0,18.0,22.0,11.0,24.0,8.0,19.0,5.0,4.0,19.0,M,0
2003,136,1211,74.0,1153,69.0,N,0,20.0,47.0,6.0,14.0,28.0,37.0,8.0,28.0,12.0,12.0,2.0,2.0,15.0,26.0,66.0,10.0,27.0,7.0,10.0,13.0,22.0,13.0,10.0,7.0,6.0,24.0,M,0
2003,136,1228,65.0,1443,60.0,N,0,24.0,56.0,5.0,14.0,12.0,14.0,15.0,23.0,15.0,14.0,11.0,4.0,14.0,22.0,58.0,8.0,24.0,8.0,13.0,17.0,18.0,10.0,14.0,6.0,5.0,16.0,M,0
2003,136,1242,64.0,1429,61.0,N,0,28.0,51.0,2.0,6.0,6.0,11.0,7.0,20.0,13.0,11.0,8.0,4.0,17.0,23.0,56.0,6.0,17.0,9.0,10.0,13.0,19.0,13.0,13.0,6.0,1.0,15.0,M,0
2003,136,1266,72.0,1221,68.0,N,0,22.0,51.0,9.0,16.0,19.0,23.0,11.0,20.0,14.0,10.0,4.0,3.0,23.0,24.0,54.0,5.0,15.0,15.0,25.0,14.0,20.0,14.0,9.0,4.0,1.0,20.0,M,0
2003,136,1281,72.0,1356,71.0,N,0,28.0,52.0,5.0,13.0,11.0,18.0,9.0,32.0,7.0,23.0,4.0,6.0,19.0,26.0,65.0,8.0,19.0,11.0,21.0,11.0,18.0,19.0,13.0,6.0,0.0,19.0,M,0
2003,136,1323,70.0,1454,69.0,N,0,23.0,54.0,3.0,13.0,21.0,25.0,11.0,33.0,7.0,20.0,6.0,6.0,19.0,23.0,66.0,8.0,23.0,15.0,20.0,14.0,23.0,15.0,12.0,11.0,3.0,25.0,M,0
2003,136,1328,71.0,1354,54.0,N,0,24.0,52.0,10.0,18.0,13.0,24.0,11.0,24.0,16.0,14.0,8.0,3.0,12.0,21.0,52.0,6.0,20.0,6.0,8.0,7.0,22.0,8.0,18.0,7.0,2.0,23.0,M,0
2003,136,1390,77.0,1360,69.0,N,0,29.0,64.0,8.0,24.0,11.0,15.0,12.0,29.0,16.0,14.0,4.0,8.0,24.0,20.0,61.0,4.0,18.0,25.0,32.0,17.0,25.0,7.0,11.0,3.0,0.0,18.0,M,0
2003,136,1409,84.0,1173,71.0,N,0,33.0,57.0,8.0,12.0,10.0,13.0,8.0,26.0,18.0,12.0,6.0,1.0,11.0,28.0,66.0,9.0,28.0,6.0,9.0,12.0,16.0,11.0,11.0,3.0,3.0,19.0,M,0
2003,136,1458,81.0,1451,74.0,N,0,31.0,58.0,6.0,16.0,13.0,22.0,10.0,24.0,16.0,9.0,7.0,2.0,16.0,29.0,71.0,7.0,24.0,9.0,15.0,22.0,21.0,9.0,10.0,4.0,0.0,20.0,M,0
2003,137,1120,57.77777777777777,1386,56.0,N,1,22.22222222222222,50.666666666666664,6.222222222222221,16.0,7.111111111111111,11.555555555555555,12.444444444444443,21.333333333333332,9.777777777777777,13.333333333333332,3.5555555555555554,4.444444444444445,14.222222222222221,19.555555555555554,52.44444444444444,5.333333333333333,21.333333333333332,11.555555555555555,14.222222222222221,13.333333333333332,18.666666666666664,9.777777777777777,10.666666666666666,7.111111111111111,3.5555555555555554,16.88888888888889,M,0
2003,137,1139,47.0,1280,46.0,N,0,18.0,47.0,5.0,18.0,6.0,8.0,7.0,19.0,5.0,8.0,3.0,0.0,15.0,16.0,44.0,6.0,21.0,8.0,14.0,8.0,22.0,10.0,10.0,6.0,4.0,13.0,M,0
2003,137,1196,85.0,1358,55.0,N,0,32.0,61.0,13.0,28.0,8.0,14.0,9.0,31.0,24.0,10.0,6.0,3.0,15.0,19.0,57.0,6.0,18.0,11.0,18.0,12.0,25.0,10.0,16.0,1.0,4.0,16.0,M,0
2003,137,1231,67.0,1104,62.0,N,0,19.0,49.0,7.0,18.0,22.0,26.0,13.0,22.0,15.0,8.0,1.0,2.0,17.0,22.0,52.0,5.0,12.0,13.0,16.0,9.0,20.0,13.0,8.0,2.0,6.0,21.0,M,0
2003,137,1246,95.0,1237,64.0,N,0,40.0,65.0,10.0,20.0,5.0,11.0,10.0,25.0,22.0,13.0,7.0,4.0,17.0,22.0,60.0,4.0,15.0,16.0,22.0,15.0,18.0,10.0,19.0,7.0,1.0,15.0,M,0
2003,137,1257,86.0,1122,64.0,N,0,35.0,70.0,8.0,24.0,8.0,13.0,15.0,29.0,18.0,12.0,12.0,4.0,22.0,24.0,54.0,2.0,21.0,14.0,22.0,8.0,21.0,11.0,18.0,5.0,3.0,18.0,M,0
2003,137,1268,75.0,1423,73.0,N,0,27.0,54.0,10.0,19.0,11.0,15.0,8.0,27.0,17.0,13.0,3.0,3.0,20.0,20.0,55.0,13.0,29.0,20.0,26.0,10.0,19.0,16.0,8.0,7.0,1.0,19.0,M,0
2003,137,1277,79.0,1160,64.0,N,0,26.0,56.0,7.0,13.0,20.0,25.0,10.0,28.0,16.0,11.0,5.0,1.0,18.0,26.0,60.0,5.0,14.0,7.0,17.0,12.0,23.0,9.0,13.0,6.0,8.0,19.0,M,0
2003,137,1329,77.0,1335,63.0,N,0,27.0,50.0,7.0,20.0,16.0,28.0,10.0,15.0,15.0,11.0,12.0,0.0,17.0,20.0,41.0,8.0,18.0,15.0,16.0,2.0,13.0,17.0,18.0,5.0,0.0,20.0,M,0
2003,137,1338,87.0,1447,61.0,N,0,33.0,59.0,9.0,16.0,12.0,21.0,10.0,23.0,22.0,9.0,14.0,6.0,19.0,21.0,51.0,7.0,21.0,12.0,18.0,9.0,20.0,13.0,19.0,6.0,2.0,20.0,M,0
2003,137,1345,80.0,1261,56.0,N,0,27.0,52.0,9.0,16.0,17.0,19.0,8.0,25.0,7.0,19.0,9.0,1.0,18.0,20.0,60.0,6.0,26.0,10.0,17.0,17.0,18.0,7.0,16.0,7.0,3.0,13.0,M,0
2003,137,1393,76.0,1264,65.0,N,0,30.0,52.0,4.0,11.0,12.0,15.0,11.0,28.0,16.0,18.0,5.0,9.0,17.0,22.0,61.0,6.0,21.0,15.0,18.0,14.0,14.0,16.0,11.0,9.0,2.0,14.0,M,0
2003,137,1400,82.0,1421,61.0,N,0,31.0,62.0,6.0,16.0,14.0,20.0,19.0,28.0,15.0,14.0,6.0,2.0,16.0,23.0,62.0,5.0,21.0,10.0,12.0,13.0,16.0,5.0,11.0,9.0,3.0,16.0,M,0
2003,137,1428,60.0,1332,58.0,N,0,18.0,61.0,9.0,23.0,15.0,18.0,13.0,23.0,8.0,15.0,7.0,4.0,22.0,19.0,55.0,3.0,17.0,17.0,24.0,13.0,29.0,8.0,17.0,6.0,2.0,22.0,M,0
2003,137,1448,76.0,1190,73.0,N,0,29.0,69.0,6.0,23.0,12.0,20.0,19.0,29.0,13.0,19.0,8.0,9.0,19.0,24.0,60.0,5.0,10.0,20.0,28.0,13.0,25.0,7.0,15.0,12.0,4.0,20.0,M,0
2003,137,1462,71.0,1407,59.0,N,0,26.0,64.0,6.0,20.0,13.0,18.0,17.0,30.0,19.0,10.0,5.0,4.0,11.0,23.0,65.0,11.0,29.0,2.0,6.0,12.0,21.0,13.0,9.0,6.0,6.0,19.0,M,0
2003,138,1112,76.80000000000001,1211,76.0,N,2,27.200000000000003,59.2,5.6000000000000005,19.200000000000003,16.8,23.200000000000003,14.4,23.200000000000003,14.4,7.2,5.6000000000000005,3.2,16.0,27.200000000000003,61.6,8.8,24.0,12.8,16.8,12.8,21.6,16.0,8.8,4.0,4.0,20.0,M,0
2003,138,1163,85.0,1390,74.0,N,0,31.0,68.0,6.0,10.0,17.0,21.0,17.0,26.0,12.0,9.0,4.0,1.0,13.0,27.0,62.0,8.0,23.0,12.0,17.0,11.0,22.0,12.0,11.0,2.0,6.0,18.0,M,0
2003,138,1181,86.0,1141,60.0,N,0,32.0,52.0,10.0,15.0,12.0,16.0,4.0,23.0,14.0,11.0,15.0,9.0,18.0,21.0,57.0,8.0,17.0,10.0,14.0,14.0,19.0,8.0,21.0,4.0,2.0,14.0,M,0
2003,138,1242,108.0,1113,76.0,N,0,40.0,59.0,5.0,9.0,23.0,34.0,12.0,28.0,21.0,13.0,6.0,6.0,20.0,28.0,69.0,4.0,15.0,16.0,23.0,17.0,14.0,11.0,11.0,7.0,5.0,21.0,M,0
2003,138,1266,89.77777777777777,1281,81.77777777777777,N,1,31.11111111111111,55.11111111111111,10.666666666666666,16.0,16.88888888888889,17.77777777777778,7.111111111111111,22.22222222222222,16.0,10.666666666666666,5.333333333333333,0.0,17.77777777777778,27.555555555555554,64.0,13.333333333333332,32.0,13.333333333333332,16.88888888888889,16.0,17.77777777777778,16.88888888888889,10.666666666666666,3.5555555555555554,3.5555555555555554,15.11111111111111,M,0
2003,138,1323,68.0,1228,60.0,N,0,25.0,61.0,13.0,24.0,5.0,5.0,5.0,32.0,12.0,11.0,5.0,4.0,13.0,22.0,63.0,5.0,17.0,11.0,16.0,10.0,31.0,12.0,9.0,6.0,3.0,10.0,M,0
2003,138,1328,74.0,1143,65.0,N,0,26.0,51.0,7.0,13.0,15.0,24.0,13.0,23.0,16.0,12.0,2.0,2.0,15.0,27.0,52.0,5.0,16.0,6.0,12.0,6.0,18.0,6.0,9.0,5.0,4.0,23.0,M,0
